GHM;MCO;CAS;DA;GP;GA;Classif PKCS;Libracine;Recours;Regroupement GHM PH
09C14;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanés ou des seins;non  ;Certain curage lymphonodal affection peau, tissu sous-cutané, sein
09C15;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Interventions sur la peau, les tissus sous-cutanés ou les seins pour lésions traumatiques;non  ;Chir peau, tissu sous-cutané, sein pour lésion traumatique
09C16;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Mastectomies totales avec reconstructions complexes;non  ;Mastectomies totales avec reconstructions complexes
09C17;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Reconstructions complexes isolées;non  ;Reconstructions des seins
09C18;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Interventions majeures pour tumeur maligne du sein avec reconstruction prothétique;non  ;Mastectomie totale, subtotale, tumeur maligne
09C19;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Interventions majeures pour tumeur maligne du sein;non  ;Mastectomie totale, subtotale, tumeur maligne
09C20;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Autres interventions pour tumeur maligne du sein;non  ;Mastectomie totale, subtotale, tumeur maligne
09C21;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie du sein hors TM;Gynécologie - sein;Interventions majeures hors tumeur maligne du sein;non  ;Chir sein (hors TM, biopsie, kyste) (Hypertrophie, atrophie...)
09C22;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie du sein hors TM;Gynécologie - sein;Autres interventions hors tumeur maligne du sein;non  ;Chir sein (hors TM, biopsie, kyste) (Hypertrophie, atrophie...)
09C23;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions majeures pour tumeur maligne de la peau;non  ;Greffes peau / parages hors brûlures
09C24;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions intermédiaires pour tumeur maligne de la peau;non  ;Greffes peau / parages hors brûlures
09C25;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Autres interventions pour tumeur maligne de la peau;non  ;Greffes peau / parages hors brûlures
09C26;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions pour tumeurs bénignes, naevus, kystes ou atteintes de l'ongle;non  ;Greffes peau / parages hors brûlures
09C27;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions d'exérèse ou de greffe pour infection;non  ;Greffes peau / parages hors brûlures
09C28;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions majeures d'exérèse ou de greffe;non  ;Greffes peau / parages hors brûlures
09C29;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions intermédiaires d'exérèse ou de greffe;non  ;Greffes peau / parages hors brûlures
09C30;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Exérèse de lésions fasciales ou sousfasciales des tissus mous;non  ;Greffes peau / parages hors brûlures
09C31;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Autres interventions d'exérèse ou de greffe;non  ;Greffes peau / parages hors brûlures
09C32;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Chirurgie superficielle des orifices sensoriels de la face;non  ;Greffes peau / parages hors brûlures
09C33;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Autres interventions majeures de la CMD09;non  ;Greffes peau / parages hors brûlures
09C34;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Autres interventions de la CMD09;non  ;Greffes peau / parages hors brûlures
09M02;Chirurgie;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Intervention  peau et tissu sous-cutané;Dermatologie;Traumatismes de la peau et des tissus sous-cutanés, âge inférieur à 18 ans;non  ;Traumatisme peau et tissu sous-cutané, < 18 ans
09M03;Chirurgie;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Intervention  peau et tissu sous-cutané;Dermatologie;Traumatismes de la peau et des tissus sous-cutanés, âge supérieur à 17 ans;non  ;Traumatisme peau et tissus sous-cutanés, >17 ans
09M04;Médecine;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Infections peau et tissu sous-cutané;Dermatologie;Lésions, infections et inflammations de la peau et des tissus sous-cutanés, âge inférieur à 18 ans;non  ;Lésion infection inflammation peau, tissu sous-cutané, < 18 ans
09M05;Médecine;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Infections peau et tissu sous-cutané;Dermatologie;Lésions, infections et inflammations de la peau et des tissus sous-cutanés, âge supérieur à 17 ans;non  ;Lésion infection, inflammation peau et tissus sous-cutanés, > 17 ans
09M06;Médecine;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Affections peau et tissu sous-cutané;Dermatologie;Ulcères cutanés;non  ;Ulcères cutanés
09M07;Médecine;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Affections peau et tissu sous-cutané;Dermatologie;Autres affections dermatologiques;non  ;Autre affection dermatologique (Urticiare, dermatite…)
09M08;Médecine;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Affections peau et tissu sous-cutané;Dermatologie;Affections dermatologiques sévères;oui  ;Affection dermatologique sévère(Gale, psoriais, erytheme noueux, Lupus, Pemphigoide...)
09M09;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Affections des seins ;Gynécologie - sein;Affections non malignes des seins;non  ;Affections non malignes des seins
09M10;Médecine;Médecine sans acte classant;Gynécologie - sein;Gynécologie, Sénologie (hors Obstétrique);Prise en charge médicale des tumeurs des seins ;Gynécologie - sein;Tumeurs malignes des seins;non  ;PEC Med Tumeurs malignes des seins
09M11;Médecine;Médecine sans acte classant;Tissu cutané et tissu sous-cutané;Affections et traumatismes de la peau, gelures;Prise en charge médicale des tumeurs de la peau et tissu sous-cutané;Dermatologie;Tumeurs de la peau;non  ;PEC Med de tumeur de la peau
10C02;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies SNC hors trauma (rachis et moelle exceptés);Chirurgie Systéme nerveux;Interventions sur l’hypophyse;oui  ;Interventions sur l’hypophyse
10C03;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies reins, uretères, vessie, glandes surrénales;Chirurgie urologique;Interventions sur les glandes surrénales;oui  ;Interventions sur les glandes surrénales
10C05;Chirurgie;Chirurgie;Endocrinologie;Chirurgie de la Thyroide, Parathyroide, du Tractus Thyréoglosse, endocrinologie;Chirurgie des parathyroides, du tractus thyréoglosse, endocrinologie;Chirurgie glandes endocrines;Interventions sur les parathyroïdes;non  ;Chir parathyroïdes
10C07;Chirurgie;Chirurgie;Endocrinologie;Chirurgie de la Thyroide, Parathyroide, du Tractus Thyréoglosse, endocrinologie;Chirurgie des parathyroides, du tractus thyréoglosse, endocrinologie;Chirurgie glandes endocrines;Interventions sur le tractus thyréoglosse;non  ;Interventions sur le tractus thyréoglosse
10C08;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Autres interventions pour troubles endocriniens, métaboliques ou nutritionnels;non  ;Autres interventions pour troubles endocriniens, métaboliques ou nutritionnels
10C09;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgies digestives hautes;Chirurgie digestive;Gastroplasties pour obésité;non  ;Gastroplasties pour obésité
10C10;Chirurgie;Chirurgie;Endocrinologie;Chirurgie de la Thyroide, Parathyroide, du Tractus Thyréoglosse, endocrinologie;Chirurgie des parathyroides, du tractus thyréoglosse, endocrinologie;Chirurgie glandes endocrines;Autres interventions pour obésité;non  ;Autre Chir pour obésité (repositionnement anneau, dermolipectomie…)
10C11;Chirurgie;Chirurgie;Endocrinologie;Chirurgie de la Thyroide, Parathyroide, du Tractus Thyréoglosse, endocrinologie;Chirurgie de la thyroide;Chirurgie glandes endocrines;Interventions sur la thyroïde pour tumeurs malignes;non  ;Chir thyroïde pour tumeur maligne
10C12;Chirurgie;Chirurgie;Endocrinologie;Chirurgie de la Thyroide, Parathyroide, du Tractus Thyréoglosse, endocrinologie;Chirurgie de la thyroide;Chirurgie glandes endocrines;Interventions sur la thyroïde pour affections non malignes;non  ;Chir thyroïde affection non maligne
10C13;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Autres chirurgies digestives;Chirurgie digestive;Interventions digestives autres que les gastroplasties, pour obésité;non  ;Chir dig autre que gastroplastie, pour obésité (Sleeve, bypass..)
10M02;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Diabète;Endocrinologie;Diabète, âge supérieur à 35 ans;non  ;Diabète > 35 ans
10M03;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Diabète;Endocrinologie;Diabète, âge inférieur à 36 ans;non  ;Diabète < 36 ans
10M07;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Maladies endocriniennes hors diabète;Endocrinologie;Autres troubles endocriniens;non  ;Autre trouble endocrinien (Cushing, hyperaldo, acromeg, hypopitui…)
10M08;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Diabète;Endocrinologie;Acidocétose et coma diabétique;non  ;Acidocétose et coma diabétique
10M09;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Obésité;non  ;Obésité
10M10;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Maladies métaboliques congénitales sévères;oui  ;Maladies métaboliques congénitales sévères
10M11;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Autres maladies métaboliques congénitales;non  ;Autres maladies métaboliques congénitales
10M12;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Maladies endocriniennes hors diabète;Endocrinologie;Tumeurs des glandes endocrines;non  ;Tumeurs des glandes endocrines
10M15;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Troubles métaboliques, âge inférieur à 18 ans;non  ;Troubles métaboliques, âge inférieur à 18 ans
10M16;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Troubles métaboliques, âge supérieur à 17 ans;non  ;Trouble métabolique >17 ans (hypokaliemie, hypovolemie, hypoglycemie…)
10M17;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Troubles nutritionnels divers, âge inférieur à 18 ans;non  ;Troubles nutritionnels divers, < 18 ans
10M18;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Troubles métaboliques, nutritionnels et obésité;Endocrinologie;Troubles nutritionnels divers, âge supérieur à 17 ans;non  ;Troubles nutritionnels divers, >17 ans (malnutrition, anorexie, carence vit D)
10M19;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Affections endocriniennes et problèmes alimentaires du nouveau né et du nourisson;Endocrinologie;Autres affections de la CMD 10 concernant majoritairement la petite enfance;non  ;Autres affection endoc de la petite enfance
10M20;Médecine;Médecine sans acte classant;Endocrinologie;Diabète, Maladies métaboliques, Endocrinologie (hors complications);Affections endocriniennes et problèmes alimentaires du nouveau né et du nourisson;Endocrinologie;Problèmes alimentaires du nouveau-né et du nourrisson;non  ;Problèmes alimentaires du nouveau-né et du nourrisson
11C02;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies reins, uretères, vessie, glandes surrénales;Chirurgie urologique;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale;oui  ;Chir rein et uretère et chir majeure vessie pour affection tumorale
11C03;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies reins, uretères, vessie, glandes surrénales;Chirurgie urologique;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale;non  ;Chir rein, uretère, vessie aff non tumorale (Hydronéphrose, retrecissement, kyste, reflux…)
11C04;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies reins, uretères, vessie, glandes surrénales;Chirurgie urologique;Autres interventions sur la vessie à l'exception des interventions transurétrales;non  ;Autre chir vessie hors chir transurétrales
11C05;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies transurétrales, autres;Chirurgie urologique;Interventions transurétrales ou par voie transcutanée;non  ;Interventions transurétrales ou par voie transcutanée
11C06;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies transurétrales, autres;Chirurgie urologique;Interventions sur l'urètre, âge inférieur à 18 ans;oui  ;Interventions sur l'urètre, âge inférieur à 18 ans
11C07;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies transurétrales, autres;Chirurgie urologique;Interventions sur l'urètre, âge supérieur à 17 ans;non  ;Interventions sur l'urètre, âge supérieur à 17 ans
11C08;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies reins, uretères, vessie, glandes surrénales;Chirurgie urologique;Autres interventions sur les reins et les voies urinaires;non  ;Autres interventions sur les reins et les voies urinaires
11C09;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie vasculaire;Autres chirurgies vasculaires;Chir thoracique et vasculaire;Créations et réfections de fistules artérioveineuses pour affections de la CMD 11;non  ;Création, réfection fistules artérioveineuse pathologie rénale
11C10;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies reins, uretères, vessie, glandes surrénales;Chirurgie urologique;Interventions pour incontinence urinaire en dehors des interventions transurétrales;non  ;Chir incontinence urinaire hors chir transurétrale (prothèse sphinc…)
11C11;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies transurétrales, autres;Chirurgie urologique;Interventions par voie transurétrale ou transcutanée pour lithiases urinaires;non  ;Chir par voie transurétrale ou transcut pour lithiase urinaire
11C12;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies transurétrales, autres;Chirurgie urologique;Injections de toxine botulique dans l'appareil urinaire;non  ;Injections de toxine botulique dans l'appareil urinaire
11C13;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie Urologique;Chirurgies transurétrales, autres;Chirurgie urologique;Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques;non  ;Chir voie transurétrale ou transcut pour aff. non lithiasique (Tumeur vessie...)
11K02;Médecine;Acte peu invasif;Uro-néphrologie et génital ;Dialyse (hors Séances);Insuffisance rénale, avec dialyse;Dialyse (hors Séances);Insuffisance rénale, avec dialyse;non  ;Insuffisance rénale, avec dialyse
11M02;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Infections reins et voies urinaires, lithiases;Uro-nephro medicale;Lithiases urinaires;non  ;Lithiases urinaires
11M03;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Infections reins et voies urinaires, lithiases;Uro-nephro medicale;Infections des reins et des voies urinaires, âge inférieur à 18 ans;non  ;Infections des reins et des voies urinaires < 18 ans
11M04;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Infections reins et voies urinaires, lithiases;Uro-nephro medicale;Infections des reins et des voies urinaires, âge supérieur à 17 ans;non  ;Infections des reins et des voies urinaires > 17 ans
11M06;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Insuffisance rénale, sans dialyse;non  ;Insuffisance rénale, sans dialyse
11M07;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Prise en charge médicale des tumeurs reins et voies urinaires;Uro-nephro medicale;Tumeurs des reins et des voies urinaires;non  ;Tumeurs des reins et des voies urinaires
11M08;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Autres affections des reins et des voies urinaires, âge inférieur à 18 ans;non  ;Autre affection reins, voies urinaires, < 18 ans
11M10;Chirurgie;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Rétrécissement urétral;non  ;Rétrécissement urétral
11M11;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Signes et symptômes concernant les reins et les voies urinaires, âge inférieur à 18 ans;non  ;Signe et symptôme, rein ou voie urinaire < 18 ans
11M12;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Signes et symptômes concernant les reins et les voies urinaires, âge supérieur à 17 ans;non  ;Signe, symptôme rein, voie urinaire > 17 ans (rétention, hématurie…)
11M15;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Autres affections des reins et des voies urinaires d'origine diabétique, âge supérieur à 17 ans;non  ;Autre affection rein, voie urinaire, origine diabétique,>17 ans
11M16;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Autres affections des reins et des voies urinaires, à l'exception de celles d'origine diabétique, âge supérieur à 17 ans;non  ;Autre aff rein, voie urinaire > à 17 ans (complication mécanique sonde, hématurie, ischémie rein…)
11M17;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Explorations et surveillance pour affections du rein et des voies urinaires;Uro-nephro medicale;Surveillances de greffes de rein;oui  ;Surveillances de greffes de rein
11M20;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Uro-Néphrologie médicale (hors Séances);Autres affections reins, voies urinaires;Uro-nephro medicale;Autres affections uronéphrologiques concernant majoritairement la petite enfance;non  ;Autre affection uronéphro de la petite enfance (infection++…)
12C03;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies appareil génital masculin;Chirurgie urologique;Interventions sur le pénis;non  ;Interventions sur le pénis (Hypospadias, Corps caverneux…)
12C04;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies appareil génital masculin;Chirurgie urologique;Prostatectomies transurétrales;non  ;Prostatectomies transurétrales (hyperplasie, tumeur…)
12C05;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgie des tumeurs appareil génital masculin;Chirurgie urologique;Interventions sur les testicules pour tumeurs malignes;non  ;Interventions sur les testicules pour tumeurs malignes
12C06;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies appareil génital masculin;Chirurgie urologique;Interventions sur les testicules pour affections non malignes, âge inférieur à 18 ans;non  ;Chir testicule affection non maligne, < 18 ans(torsion, cryptorchidie...)
12C07;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies appareil génital masculin;Chirurgie urologique;Interventions sur les testicules pour affections non malignes, âge supérieur à 17 ans;non  ;chir testicule, affection non maligne, > 17 ans (hydrocele, torsion, tumeur…)
12C08;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Circoncisions;Chirurgie urologique;Circoncision;non  ;Circoncision
12C09;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgie des tumeurs appareil génital masculin;Chirurgie urologique;Autres interventions pour tumeurs malignes de l'appareil génital masculin;non  ;Autre chir pour tumeur maligne appareil génital masculin
12C10;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies appareil génital masculin;Chirurgie urologique;Autres interventions pour affections non malignes de l'appareil génital masculin;non  ;Autre chir affection non malignes app. génital masculin
12C11;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies pelviennes majeures (urologie);Chirurgie urologique;Interventions pelviennes majeures chez l'homme pour tumeurs malignes;oui  ;Chir pelvienne majeure chez l'homme pour tumeur maligne (Prostate, testicule…)
12C12;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies pelviennes majeures (urologie);Chirurgie urologique;Interventions pelviennes majeures chez l'homme pour affections non malignes;non  ;Chir pelvienne majeure chez homme pour affection non maligne
12C13;Chirurgie;Chirurgie;Uro-néphrologie et génital ;Chirurgie de l'appareil génital masculin;Chirurgies appareil génital masculin;Chirurgie urologique;Stérilisation et vasoplastie;non  ;Stérilisation et vasoplastie
12M03;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Appareil génital masculin;Prise en charge médicale des tumeurs de l'appareil génital masculin;Uro-nephro medicale;Tumeurs malignes de l'appareil génital masculin;non  ;Tumeurs malignes de l'appareil génital masculin
12M04;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Appareil génital masculin;Autres affections appareil génital masculin;Uro-nephro medicale;Hypertrophie prostatique bénigne;non  ;Hypertrophie prostatique bénigne
12M05;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Appareil génital masculin;Autres affections appareil génital masculin;Uro-nephro medicale;Autres affections de l'appareil génital masculin;non  ;Autres affections de l'appareil génital masculin
12M06;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Appareil génital masculin;Infections appareil génital masculin;Uro-nephro medicale;Prostatites aigües et orchites;non  ;Prostatites aigües et orchites
12M07;Médecine;Médecine sans acte classant;Uro-néphrologie et génital ;Appareil génital masculin;Infections appareil génital masculin;Uro-nephro medicale;Autres infections et inflammations de l'appareil génital masculin;non  ;Autres infections et inflammations de l'appareil génital masculin
13C03;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Hystérectomies;non  ;Hystérectomies
13C04;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Autres chirurgies gynécologiques autres que le sein;Gynécologie - sein;Interventions réparatrices sur l'appareil génital féminin;non  ;Interv réparatrices appareil génital fém (Prolapsus, cervicocytopexie..)
13C05;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgie pour tumeurs malignes (app génital fem);Gynécologie - sein;Interventions sur le système utéroannexiel pour tumeurs malignes;non  ;Interventions système utéroannexiel pour tumeurs malignes (Ovaire)
13C06;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Interruptions tubaires;non  ;Interruptions tubaires
13C07;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Interventions sur le système utéroannexiel pour des affections non malignes, autres que les interruptions tubaires;non  ;Interv système utéroannexiel, aff non maligne(Kyste, tumeur benigne, torsion ovaire)
13C08;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Autres chirurgies gynécologiques autres que le sein;Gynécologie - sein;Interventions sur la vulve, le vagin ou le col utérin;non  ;Intervention vulve, vagin (abces, glande bartholin…)
13C09;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Laparoscopies ou coelioscopies diagnostiques;non  ;Laparoscopies ou coelioscopies diagnostiques
13C10;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Ligatures tubaires par laparoscopie ou coelioscopie;non  ;Ligatures tubaires par laparoscopie ou coelioscopie
13C11;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgie pour tumeurs malignes (app génital fem);Gynécologie - sein;Dilatations et curetages, conisations pour tumeurs malignes;non  ;Dilatations et curetages, conisations pour tumeurs malignes
13C12;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Chirurgies utérus / annexes;Gynécologie - sein;Dilatations et curetages, conisations pour affections non malignes;non  ;Dilatations et curetages, conisations pour affections non malignes
13C13;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie Gynécologique;Autres chirurgies gynécologiques autres que le sein;Gynécologie - sein;Autres interventions sur l'appareil génital féminin;non  ;Autres interventions sur l'appareil génital féminin
